trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
578,False,"{'a': 0.1, 'e': 0.05517478773284426}",30,3,36.80591892686353,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
579,False,"{'a': 0.1, 'e': 0.05489891379418004}",25,17,2.1654407330822965,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
580,False,"{'a': 0.1, 'e': 0.05462441922520914}",25,3,11.739738839221177,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
581,False,"{'a': 0.1, 'e': 0.0543512971290831}",20,12,12.975032668142344,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
582,False,"{'a': 0.1, 'e': 0.05407954064343768}",30,16,26.611082843898995,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
583,False,"{'a': 0.1, 'e': 0.05380914294022049}",30,14,15.048743043802002,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
584,False,"{'a': 0.1, 'e': 0.05354009722551939}",25,13,23.6641219704616,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
585,False,"{'a': 0.1, 'e': 0.05327239673939179}",25,13,22.747377673429888,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
586,False,"{'a': 0.1, 'e': 0.053006034755694834}",20,14,11.574455108790634,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
587,False,"{'a': 0.1, 'e': 0.052741004581916356}",25,8,23.614284821547894,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
588,False,"{'a': 0.1, 'e': 0.052477299559006776}",20,8,17.271838256402944,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
589,False,"{'a': 0.1, 'e': 0.052214913061211746}",20,7,22.511934638822982,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
590,False,"{'a': 0.1, 'e': 0.05195383849590569}",30,15,26.316010791790934,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
591,False,"{'a': 0.1, 'e': 0.05169406930342616}",20,11,17.482789009734713,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
592,False,"{'a': 0.1, 'e': 0.05143559895690903}",20,10,-21.71861326679384,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
593,False,"{'a': 0.1, 'e': 0.051178420962124486}",25,17,16.098013765781246,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
594,False,"{'a': 0.1, 'e': 0.05092252885731386}",20,1,11.671827643687642,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
595,False,"{'a': 0.1, 'e': 0.05066791621302729}",20,0,25.430740504365495,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
596,False,"{'a': 0.1, 'e': 0.05041457663196215}",25,12,11.63270208083605,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
597,False,"{'a': 0.1, 'e': 0.050162503748802344}",20,7,15.263653211987293,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
598,False,"{'a': 0.1, 'e': 0.049911691230058335}",25,10,28.17394635285718,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
599,False,"{'a': 0.1, 'e': 0.04966213277390804}",30,16,23.89782472590079,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
600,False,"{'a': 0.1, 'e': 0.0494138221100385}",25,0,18.767099266772174,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
601,False,"{'a': 0.1, 'e': 0.04916675299948831}",20,7,0.6453377412297867,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
602,False,"{'a': 0.1, 'e': 0.04892091923449087}",20,8,20.011611362243638,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
603,False,"{'a': 0.1, 'e': 0.04867631463831842}",20,16,8.419512817746238,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
604,False,"{'a': 0.1, 'e': 0.048432933065126825}",20,4,23.449559006996047,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
605,False,"{'a': 0.1, 'e': 0.048190768399801194}",30,13,-12.370319864302772,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
606,False,"{'a': 0.1, 'e': 0.04794981455780219}",20,10,15.472330972965068,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
607,False,"{'a': 0.1, 'e': 0.04771006548501318}",30,6,35.01605165674476,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
608,False,"{'a': 0.1, 'e': 0.047471515157588115}",25,11,19.44821853749807,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
609,False,"{'a': 0.1, 'e': 0.047234157581800176}",25,2,28.415201877862184,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
610,False,"{'a': 0.1, 'e': 0.046997986793891174}",20,3,21.82630287935454,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
611,False,"{'a': 0.1, 'e': 0.04676299685992172}",20,2,21.083803717652323,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
612,False,"{'a': 0.1, 'e': 0.04652918187562211}",20,8,23.110769646464856,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
613,False,"{'a': 0.1, 'e': 0.046296535966244}",25,0,30.587714714532932,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
614,False,"{'a': 0.1, 'e': 0.046065053286412784}",30,0,44.72919398568061,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
615,False,"{'a': 0.1, 'e': 0.04583472801998072}",35,17,27.051409648770598,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
616,False,"{'a': 0.1, 'e': 0.045605554379880814}",35,18,30.64456664713291,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
617,False,"{'a': 0.1, 'e': 0.04537752660798141}",30,10,37.82423560215679,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
618,False,"{'a': 0.1, 'e': 0.0451506389749415}",20,12,12.171382747400347,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
619,False,"{'a': 0.1, 'e': 0.044924885780066794}",20,3,29.47514099522042,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
